旅行内容创作库 - 行程记录表

日期,城市,时间段,类型,名称,地址,费用,停留时长,推荐指数,必去吗,预约信息,拍照Tips,避坑提醒,我的感受
2024-05-01,釜山,上午,景点,海云台海滩,釜山海云台区,0,2小时,⭐⭐⭐⭐⭐,必去,无需预约,日落前1小时去光线最好,周末人多早点去,沙子很细日落超美
2024-05-01,釜山,中午,美食,海鲜拉面,海云台地铁站附近,60,1小时,⭐⭐⭐⭐,推荐,无需预约,,需要排队30分钟,汤头鲜甜分量大
2024-05-01,釜山,下午,景点,甘川文化村,釜山镇区,0,2小时,⭐⭐⭐⭐,必去,无需预约,每个巷子都是拍照点,需要爬山穿舒服鞋子,色彩斑斓像童话世界


旅行内容创作库 - 费用汇总表

类别,项目,金额,备注,日期
交通,机票,2500,上海往返釜山,2024-05-01
住宿,酒店,1500,4晚海云台附近,2024-05-01
餐饮,海鲜拉面,60,午餐,2024-05-01
餐饮,烤肉,150,晚餐,2024-05-01
门票,甘川文化村,0,免费入场,2024-05-01


旅行内容创作库 - 旅行信息表

旅行名称,目的地,开始日期,结束日期,天数,总预算,实际花费,出发地,旅行人数,旅行性质
韩国釜山5日游,釜山,2024-05-01,2024-05-05,5,10000,8000,上海,1,独行
